Feature,Average Importance
H3K4me3_0p,0.029373626386354715
DNase_0p,0.025891121727804896
H3K27ac_0p,0.017514267616190415
H3K4me1_0p,0.01564930176488215
CTCF_1p,0.015479263745069782
CTCF_0p,0.01444007656422097
H3K4me1_-1p,0.012428205451433305
DNase_1p,0.012164035089576482
DNase_-3p,0.01182146298078748
DNase_-8p,0.011542192321406668
H3K27ac_0e,0.010904103922717122
DNase_6p,0.01056426343171829
H3K4me1_0e,0.009650940707990953
H3K4me1_-3p,0.009244493708248855
DNase_2p,0.00914477526300102
DNase_0e,0.009037254896703557
DNase_-4p,0.009000650725244025
H3K27me3_0p,0.008941325311129988
DNase_-2p,0.00843233509156724
DNase_7p,0.008416146153209477
H3K4me1_9p,0.00757761485502296
H3K4me1_1e,0.007212525639713991
DNase_3p,0.007198674020122089
H3K4me1_-6p,0.006965712524445984
H3K4me1_-1e,0.006866406073178493
DNase_9p,0.006832602558008587
DNase_-6p,0.0067214313826341335
H3K4me1_3p,0.006672061227320674
H3K4me1_7p,0.006619800044359592
H3K4me1_8p,0.006560378695411751
H3K4me1_2p,0.006514213361609468
CTCF_2p,0.00638049240931836
DNase_-1p,0.006143155091374496
H3K4me1_-2p,0.006128153912260095
H3K4me1_-10p,0.006072693740178682
H3K27ac_1e,0.006034613269806529
DNase_4p,0.006026883359434572
CTCF_-1p,0.005977141759407916
H3K4me1_6p,0.005864992230010854
CTCF_6p,0.00585784779539921
DNase_8p,0.005834211674039026
H3K27ac_-1e,0.005797383518173643
CTCF_-2p,0.0057958810836862785
H3K27ac_1p,0.005751468115678987
DNase_5p,0.005694091843293606
H3K4me1_-8p,0.005669789496524552
H3K4me3_-1p,0.005634157506723593
H3K4me1_4p,0.005619595144001986
H3K4me1_-9p,0.005545362428057995
H3K4me1_1p,0.005502842773075651
DNase_-10p,0.005421863563900886
DNase_-9p,0.00529356850553397
CTCF_-3p,0.005269664233092524
H3K4me1_2e,0.0052688026045376824
H3K4me1_-4p,0.0052311888788354076
H3K27ac_2p,0.005209191642844126
DNase_-7p,0.005195880734338232
DNase_1e,0.00515654269565342
H3K27ac_-1p,0.005077752367161923
DNase_10p,0.005045204595603718
H3K4me1_-7p,0.0049610760537026
H3K27ac_3p,0.004863973355050064
H3K4me1_4e,0.004791734557304027
H3K27ac_8p,0.004725580403050792
H3K27ac_-8p,0.004702605720666037
DNase_-5p,0.004640921588803731
H3K27ac_-2p,0.004635679864385714
H3K27me3_-6p,0.004620393174596842
H3K4me1_10p,0.004615027102086283
